Designator,Footprint,Quantity,Value,LCSC Part #
AE2,Texas_SWRA117D_2.4GHz_Right,1,ANT,
"C1, C10, C18, C25, C26, C27",0402,6,1u,
"C11, C12, C13, C14, C17, C23, C24, C30",0402,8,100n,
"C15, C2, C6",0402,3,47nF,
C16,0402,1,100p,
"C19, C20, C28, C29",0402,4,12p,
C21,0402,1,1p,
C22,0402,1,1.2p,
"C3, C7, C8",0805,3,22uF,
C4,0402,1,4.7uF,
C5,0603,1,10u,
C9,0603,1,47uF,
D1,0603,1,R,
D2,0603,1,G,
D3,0603,1,B,
J1,PinHeader_1x02_P2.54mm_Vertical,1,BAT_CONN,
J2,PinHeader_1x02_P2.54mm_Vertical,1,NTC_CONN,
J3,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_16P,
J4,PinHeader_1x04_P2.54mm_Vertical,1,SWD,
"L1, L2",0805,2,1uH,
L3,0402,1,10u,
L4,0402,1,15n,
L5,0402,1,4.7n,
L6,0402,1,2.2n,
"R1, R11, R15, R16, R17, R2, R23, R24, R25, R26, R27, R28, R3, R4, R5, R6",0402,16,10k,
R12,0402,1,511k,
R13,0402,1,91k,
R14,0402,1,887k,
"R18, R19",0402,2,4.7k,
"R20, R21",0402,2,33,
R22,0402,1,100k,
R7,0402,1,100,
R8,0402,1,5.1k,
R9,0402,1,30k,
SW1,SW_Push_SPST_NO_Alps_SKRK,1,Push,
SW2,SW_Tactile_SKHH_Angled,1,Push,
U1,VQFN-24-1EP_4x4mm_P0.5mm_EP2.45x2.45mm_ThermalVias,1,~,
U2,Texas_VQFN-HR-12_2x2.5mm_P0.5mm,1,~,
U3,SOT-583-8,1,~,
U4,QFN-48-1EP_6x6mm_P0.4mm_EP4.2x4.2mm,1,~,
U5,Texas_X2QFN-12_1.6x1.6mm_P0.4mm,1,TUSB320,
U6,WQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm_ThermalVias,1,TPD6S300A,
U7,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,1,TVS2200DRV,
U8,VQFN-32-1EP_5x5mm_P0.5mm_EP3.15x3.15mm,1,~,
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,32MHz,
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,
