Designator,Mid X,Mid Y,Rotation,Layer
AE2,106.73,-46.32,0.0,top
C1,113.41,-88.08,180.0,top
C10,104.98,-78.555,90.0,top
C11,111.48,-78.105,180.0,top
C12,103.88,-72.765,90.0,top
C13,112.57,-75.31,180.0,top
C14,112.21,-71.38,180.0,top
C15,103.47,-75.525,180.0,top
C16,105.97,-69.57,90.0,top
C17,106.36,-78.515,180.0,top
C18,103.47,-76.455,0.0,top
C19,101.61,-70.215,90.0,top
C2,111.5,-89.73,270.0,top
C20,102.47,-72.305,180.0,top
C21,108.29,-70.26,0.0,top
C22,108.42,-67.4,0.0,top
C23,120.47,-86.74,180.0,top
C24,118.03,-93.12,0.0,top
C25,120.08,-88.58,0.0,top
C26,120.08,-82.4825,270.0,top
C27,119.13,-82.4725,270.0,top
C28,122.69,-76.1625,180.0,top
C29,122.67,-81.3225,180.0,top
C3,109.98,-89.769999,270.0,top
C30,118.39,-74.8025,0.0,top
C4,107.93,-90.51,180.0,top
C5,105.59,-84.015,270.0,top
C6,107.87,-88.52,0.0,top
C7,104.87,-88.63,180.0,top
C8,104.699999,-86.64,180.0,top
C9,103.19,-96.525,270.0,top
D1,107.2025,-99.48,0.0,top
D2,104.68,-99.28,90.0,top
D3,110.2725,-99.47,0.0,top
H1,99.99,-49.54,0.0,top
H2,122.53,-49.56,0.0,top
H3,98.45,-99.65,0.0,top
J1,108.79,-96.21,90.0,top
J2,100.77,-78.51,180.0,top
J3,117.24,-99.545,0.0,top
J4,119.18,-71.0,90.0,top
L1,104.9225,-90.49,0.0,top
L2,104.88,-93.6825,270.0,top
L3,104.04,-77.885,90.0,top
L4,103.09,-77.87,270.0,top
L5,107.78,-68.84,270.0,top
L6,107.92,-65.97,270.0,top
R1,106.11,-80.96,90.0,top
R11,102.910001,-91.85,180.0,top
R12,101.439999,-95.52,180.0,top
R13,100.429999,-94.47,180.0,top
R14,123.65,-88.179999,270.0,top
R15,100.350001,-93.39,180.0,top
R16,124.63,-87.89,270.0,top
R17,120.34,-85.74,0.0,top
R18,123.79,-82.85,0.0,top
R19,123.77,-83.83,180.0,top
R2,111.55,-79.79,90.0,top
R20,117.24,-82.472499,90.0,top
R21,118.18,-82.4725,90.0,top
R22,119.63,-83.8625,180.0,top
R23,118.69,-85.410001,90.0,top
R24,103.01,-99.160001,270.0,top
R25,106.849999,-100.74,180.0,top
R26,109.79,-100.75,180.0,top
R27,102.23,-85.37,270.0,top
R28,101.2,-85.36,270.0,top
R3,111.960001,-81.82,0.0,top
R4,107.17,-80.569999,90.0,top
R5,110.51,-81.340001,90.0,top
R6,109.51,-81.350001,90.0,top
R7,108.52,-81.350002,270.0,top
R8,107.96,-89.56,0.0,top
R9,108.05,-91.76,180.0,top
SW1,98.72,-72.68,90.0,top
SW2,100.245,-86.44,90.0,top
U1,109.1325,-85.39,180.0,top
U2,116.76,-86.33,180.0,top
U3,102.68,-93.67,180.0,top
U4,108.01,-74.39,180.0,top
U5,122.9,-85.815,90.0,top
U6,117.35,-90.2475,90.0,top
U7,124.0,-97.0,180.0,top
U8,117.71,-78.4125,270.0,top
Y1,103.41,-70.305,270.0,top
Y2,122.7,-78.7525,90.0,top
