VENDOR,PART,COUNT,COST,COMMENT
,,,,Plenty of extras for the small SMD components in case of loss
Digikey,,,,
,4823-NRF52840-QFAA-F-R7CT-ND,1,7.02,
,296-TUSB320LAIRWBRCT-ND,1,1.83,
,296-TPS631000DRLRCT-ND,1,1.94,
,296-49153-1-ND,1,3.78,
,296-24684-1-ND,1,0.84,
,2223-UJ20-C-H-G-SMT-1-P16-TRCT-ND,1,0.49,
,296-51856-1-ND,1,2.08,
,296-52187-1-ND,1,1.1,
,490-GRM188R60J476ME01DCT-ND,5,1.9,
,490-GRT21BR61E226ME13KCT-ND,10,2.8,
,490-GRM188B31A106KE69JCT-ND,5,0.55,
,587-MSASL105BB5475KFNA01CT-ND,5,0.6,
,445-9066-1-ND,15,0.78,
,1276-1001-1-ND,24,0.41,
,490-3254-1-ND,10,0.22,
,1276-1025-1-ND,10,0.21,
,490-6197-1-ND,12,0.38,
,490-6209-1-ND,10,0.29,
,490-11193-1-ND,5,0.7,
,RMCF0402FT887KCT-ND,10,0.2,
,RMCF0402FT511KCT-ND,10,0.2,
,311-100KLRCT-ND,10,0.21,
,13-AC0402FR-0791KLCT-ND,10,0.24,
,2019-RK73H1ETTP3002FCT-ND,10,0.28,
,541-10.0KLCT-ND,32,0.76,
,P5.10KLCT-ND,10,0.31,
,311-4.7KLRCT-ND,10,0.21,
,RMCF0402FT2K20CT-ND,10,0.2,
,541-1.00KLCT-ND,10,0.32,
,13-RT0402FRE07500RLCT-ND,10,0.14,
,541-100LCT-ND,10,0.32,
,541-33.0LCT-ND,10,0.32,
,445-PLEC69BCA100M-1PT00CT-ND,4,1.72,
,118-CV201210-1R0KCT-ND,8,0.88,
,712-LRC0402CJ15NGV001TCT-ND,10,0.31,
,712-LRC0402CS4N7GV001TCT-ND,10,0.31,
,490-LQG15HS2N2B02DCT-ND,5,0.5,
,SER4233CT-ND,1,1.05,
,3997-C3E-12.000-8-1010-RCT-ND,1,0.42,
,,,,
LCSC,,,,
,C85323,5,0.24,
,C965804,100,0.5,
,C202388,5,0.73,
,C125031,5,0.72,
,C2286,100,0.73,
